¿Cómo se llama el lenguaje xml de intercambio de información entre herramientas CASE?,XMI (https://en.wikipedia.org/wiki/XML_Metadata_Interchange)
En IPv6.¿en que consiste una dirección Unique Local?,Una dirección privada pero enrutable en el ambito de tu organización El rango FC00::/7 se divide en dos FC00::/8 (no definido) y FD00::/8 (prefijo de red de 48bits random)
¿Cual es la velocidad maxima de un cable de par trenzado UTP categoria 8?,(distancia maxima 30 metros en ambos casos) Cat 8.1 (cable F/UTP) --> 40GBASE-T Cat 8.2 (cable S/FTP) --> 40GBASE-T
En Windows. ¿qué es el Boot Configuration Data?,* A partir de Windows NT 6 (Windows Vista y posteriores) el Windows Boot Manager llama a winload.exe en lugar de usar NTLDR * Fichero con el mismo formato que el Registry donde se almacena la información de arranque (antes se usaba el fichero boot.ini) * Se puede editar con la herramienta bcdedit.exe
En Powershell. ¿cuál es el cmd-let para listar ciertas propiedades de otro cmd-let?,Tenemos dos cmd-lets para realizar filtrados: Where-Object (filtrado de "filas") y Select-Object ("filtrado de columnas/propiedades") Ej. Get-Process | Select-Object -Property Name. Id
¿Cuál es el objetivo de las herramientas INSIDE y ARCHIVE?,* INSIDE --> creación y gestión de documentos/expedientes electronicos de acuerdo a las NTI correspondientes * ARCHIVE --> archivado a largo plazo (con series documentales. etc) de expedientes/documentos electronicos de acuerdo a las NTI
En el ambito de JEE. ¿Cual es el papel del api JTA y como se usa?,Es el API que le da forma al servicio de transacciones distribuidas. Las conexiones que se manejan en este tipo de servicios (que implementan el protocolo XA / two-phase commit) son de tipo javax.sql.XAConnection Se usan mediante el objeto principal de tipo UserTransaction (donde encontramos los metodos begin(). commit(). etc) Este objeto se encuentra siempre registrado en el arbol JNDI y podemos acceder al mismo de dos maneras: a) De forma explicita haciendo una busqueda JDNI con la clase InitialContext y su metodo lookup() b) Por medio de anotaciones (de las que resuelven dependencias) como @Resource (del API CDI)
En el ambito de las redes. ¿en que consiste la técnica de NAT?,Es una técnica que consiste en cambiar una dirección IP (ej privada) por otra dirección IP (publica) en el proceso de encaminamiento del trafico de red. Existen diferentes escenarios: a) IP Masquerade. Se traducen todas las IP privadas a la unica IP publica (dinamica) que tenemos b) SNAT o Source NAT. Se traducen todas las IP privadas a la unica IP publica (fija) que tenemos c) NAT Sobrecargado o PAT. En este caso el trafico entrante por un puerto a la IP publica se traduce a una IP Privada (y a un puerto que puede ser diferente)
¿Qué mecanismos existen para securizar cookies?,Sintaxis general de la HTTP Header de respuesta: Set-Cookie: <name>=<value>[  <Max-Age>=<age>] [  expires=<date>][  domain=<domain_name>] [  path=<some_path>][  secure][  HttpOnly][ SameSite=Strict/Lax/None] Campos de seguridad: a) HttpOnly --> La cookie no será accesible por JavaScript b) Secure --> Es obligatorio que el tráfico sea HTTPS c) SameSite --> Protege contra ataques "cross-site request forgery"
En seguridad de la información ¿qué representan la siglas de la triada CIA?,A las dimensiones de la seguridad: Confidencialidad.Integridad y Disponibilidad
En el contexto de BBDD. ¿en que consiste un vista materializada?,A una técnica para que el gestor de BBDD no tenga que estar recuperando los datos de la vista constantemente. Internamente se guarda la información una vez hecha la consulta en una "tabla" CREATE MATERIALIZED VIEW nombre_vista [TABLESPACE nombre_ts] [PARALELL (DEGREE n)] [BUILD {INMEDIATE|DEFERRED}] [REFRESH {FAST|COMPLETE|FORCE|NEVER}|{ON COMMIT|ON DEMAND|[START WITH fecha_inicio] NEXT intervalo}] [{ENABLE|DISABLE} QUERY REWRITE] AS SELECT ... FROM ... WHERE ...
¿Cúal es proposito de la plataforma "cl@ve identificacion" y como funciona?,Identificación de ciudadanos (españoles y europedos mediante el nodo eIDAS). Metodos: a) Con certificado electrónico o dni-e b) Sistemas de clave concertada (ocasional/PIN de la AEAT o permanente/USER-PASS del GISS) El resultado de los idP son tokens SAML
¿Qué significan las expresiones xml "bien formado" y "valido"?,a) "Bien formado" --> cumple reglas basicas de construcción de xml (cierre correcto de etiquetas. atributos. etc) b) "Valido" --> es conforme a una determinada gramática (DTD o XSD)
¿Cuales son las tres subsedes que son accesibles desde la sede electrónica del PAG?,a) Subsede del Portal de Transparencia b) Subsede del Portal Funciona c) Subsede de las Administraciones Publicas
¿Para que nos sirve el servicio común de SIM?,Servicio común para el envio de avisos por: email. SMS y notificaciones PUSH
¿Qué son ActiveRecord. DataMapper y DAO?,Son patrones de diseño de la capa de persistencia. Alguno detalles: a) ActiveRecord (presente en Ruby on Rails y PHP/Laravel). En la propia clase de negocio está la logica de BBDD d) DataMapper y DAO (tenemos dos clases independientes para la logica de app y la de BBDD)
¿Cual es la utilidad del "<binding>" en el documento WSDL?,Sirve para especificar el protocolo de transporte que vamos a usar para los mensajes SOAP (Ej <soap:binding style="document" transport="http://schemas.xmlsoap.org/soap/http" />)
¿Qué diferencia hay entre una queue y un topic en el API JMS?,https://picodotdev.github.io/blog-bitix/2014/03/introduccion-y-ejemplo-sencillo-de-java-message-service-jms/
Según el estandar TIA-942. ¿cuales son los cuatro subsistemas que tiene que tener un CPD?,- Telecomunicaciones: Backbone. elementos activos. racks. patch panels. cableado horizontal. latiguillos. elementos redundantes. etc. - Arquitectura: Protección ignífuga y requerimientos NFPA 75. ubicación y construcción. control de acceso. CCTV. NOC (Centro Operativo). etc. - Sistema eléctrico: Número de accesos. cargas. redundancia de suministro. generadores. monitorización. sistemas de transferencia. EPO (Emergency Power Off – Parada de emergencia) y puesta a tierra. - Sistema mecánico: Climatización y refrigeración. tuberías. baterías de condensadores. HVAC. detección de incendios por agente limpio y por aspiración y detección de líquidos. NOTA: ver también las areas funcionales
¿Cual es el protocolo de transporte elegido por HTTP/3?,Sobre QUIC (Quick UDP Internet Connections)
¿Que diferencia fundamental tiene SNMPv3 frente a SNMPv2?,El modelo de seguridad que está basado en el uso de la Criptografia. A cada entidad se le asigna un EngineID Se manejan dos mecanismos de seguridad: * USM (User-based Security Model se usa para Autenticacion y cifrado de paquetes SNMPv3) * VACM (View-based Access Control Model se usa para implementar la Autorización sobre los objetos gestionados)
En el ambito de los sistemas distribuidos como por ej. NoSQL. ¿a que se refiere el concepto de Sharding?,Particionamiento horizontal de los datos --> se busca sobre todo escalabilidad
¿Cuales son los componentes principales del expediente electrónico y que función tiene la firma dentro del mismo?,Expediente electronico = Documentos + Indice + Firma + Metadatos La funcion de la firma es garantizar la integridad del indice y por tanto de los documentos (porque en el indice está el hash de cada documento entre otras cosas)
¿Qué certificados x509 están presentes en el e-DNI?,* Certificado de Componente (para el propio dispositivo) * Certificado de Firma (asociado al ciudadano) * Certificado de Autenticacion (asociado al ciudadano)
¿Qué objetivo tiene el servicio común SIA dentro de la administración?,Sistema de información en el que se centraliza el registro de todos los procedimientos que lleva cada organismo
Explique brevemente la utilidad del patrón Strategy,Estructurar en clases independientes las posibles implementaciones de un algoritmo dado
¿Qué estructura tiene un SSID en una red WiFi y cual es su función?,Son 32 octetos que representan el identificador de la red. Se publica mediante una trama llamada Bacon Frame. Hay dos tipos: * Basico (BSSID). ej: Zona gobernada por un AP por ej * Extendida (ESSID). El mismo SSID se extiende por varias zonas básica
En el ambito de las redes GSM. ¿cual es la utilidad del IMEI?,Es un numero de 15 cifras (XXXXXX YY ZZZZZZ W) que identifica al terminal a nivel mundial (no tiene que ver con la operadora) * La primera parte (XXXXXX). los 6 primeros caracteres. se denomina Type Allocation Code (TAC). en donde los primeros dos dígitos indican el país de fabricación del equipo. * La segunda parte (YY) es el Final Assembly Code (FAC) e indica el fabricante del equipo. * La tercera parte (ZZZZZZ). compuesta de seis caracteres. es el número de serie del teléfono (SNR). * El último dígito (W). es el dígito verificador o Spare. usado para verificar que el IMEI es correcto. La empresa operadora puede usar el IMEI para verificar el estado del aparato mediante una base de datos denominada EIR (Equipment Identity Register). Dentro de esta base de datos existen tres listas de IMEI: la blanca. la gris y la negra. * La lista blanca identifica a los equipos que están autorizados para recibir y realizar llamadas. Esta lista debe siempre existir en el EIR. aun cuando sea la única  las otras dos son opcionales. * La lista gris identifica a los equipos que pueden hacer y recibir llamadas. pero que pueden ser supervisados para descubrir la identidad del usuario utilizando la información almacenada en el chip SIM. * La lista negra identifica a los equipos a los que se les impide conectarse a la red. Contiene los identificativos de los equipos robados o utilizados de forma ilegal y también la de aquellos equipos que no pueden acceder al sistema porque podrían producir graves problemas técnicos  por lo tanto. no pueden realizar ni recibir llamadas.
¿Para que sirve un "delegate" en tecnología .Net?,Sirve para definir punteros a metodos (en tiempo de ejecución) (Ej. public delegate int MiDelegado(int i))
En Linux. ¿cual es la utilidad del comando lsof?,Listar los ficheros abiertos por un proceso/usuario (tambien tiene capacidades de red) https://rm-rf.es/linux-el-comando-lsof/
¿En que ambito se usan o que representan los indicadores FLOPS y MIPS?,Medida del rendimiento de una CPU MIPS (Millones de instrucciones por segundo) FLOPS (Operaciones en coma flotante por segundo) --> Usado en el estandar LINPACK
¿Cual es el grado de un arbol? ¿y el orden?,Grado de un arbol --> Viene marcado por el nodo que tenga mayor Grado en ese arbol Grado de un nodo  --> Número de hijos que tiene ese nodo y esta limitado por el Orden (ej: nodo hoja tiene Grado 0) Orden de un arbol --> Maximo numéro de hijos que puede tener un nodo dado https://www.oscarblancarteblog.com/2014/08/22/estructura-de-datos-arboles/
¿Cual es la velocidad maxima de USB 4?,40Gbps
¿Que tipo de petición de nivel 2 tiene que hacer un PC para obtener una dirección IP del servidor DHCP?,Peticion broadcast (mac 255.255.255.255) llamada DHCPDISCOVER https://www.ionos.es/digitalguide/servidores/configuracion/que-es-el-dhcp-y-como-funciona/
¿Cual de las estrategias de backup es más "rapida" a la hora de su restauración? (completa/diferencia/incremental),- completa. - diferencial y - incremental (aqui necesitas todas las incrementales + completa)
¿Cual es la resolución conocida como QHD?,Dentro de la familia de las resoluciones 2K (2048x1080). QHD representa cuatro veces 720p. es decir. 2560x1440 (alias 1440p)
Dentro del dni electrónico. ¿qué estandares PKCS cumple?,* pkcs#1 (Generación de claves RSA y firma) * pkcs#11 (API Software. conocida como Criptoki. con funciones que implementa la Smartcard) * pkcs#15 (Sistema de ficheros de la Smartcard)
A nivel de cache. ¿cuales son los posibles problemas de la politica de actualización write-back?,Problemas de coherencia de cache derivados del uso de DMA o Multiprocesador
¿Cuales son los componentes principales del estandar ODBC?,* Aplicacion * ODBC Driver manager * ODBC Driver * ODBC Datasource (NOTA: Es un API estandar de la SAG - SQL Access Group)
Si hablamos de Telefonía Móvil Automática (TMA). ¿Qué dos tipos de hand-over conocemos?,* Soft Handover --> Entre el cambio de celda (de una estación base a otra) NO HAY corte * Hard Handover --> Entre el cambio de celda (de una estación base a otra) hay unos milisegundos de corte
¿A que se refiere el estandar 802.15?,A la redes WPAN (Wireless Personal Area Network). Algunos importantes serían los siguientes: * 802.15.1 --> WPAN basado en Bluetooth * 802.15.3 --> WPAN de alta velocidad * 802.15.4 --> WPAN de baja velocidad (Ej. ZigBee) * 802.15.5 --> WPAN en malla * 802.15.6 --> WPAN por el cuerpo humano (BAN - Body Area Network)
¿Qué es un Qubit (Cúbit en español)?,Unidad de medida usada en computación cuantica con dos estados asociados (0 y 1) (NOTA: Con n cubits podemos manejar 2^n estados)
¿Qué es un algoritmo de ordenación estable?,Aquel que mantiene (despues de ordenar) el orden relativo que tuvieran ciertos registros con la misma clave
Según la ley 39/2015 Art 9. ¿Cuales son los sistemas de identificación de los interesados en el procedimiento?,a) Sistemas basados en certificados electrónicos cualificados de firma electrónica expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. b) Sistemas basados en certificados electrónicos cualificados de sello electrónico expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. c) Sistemas de clave concertada y cualquier otro sistema que las Administraciones consideren válido en los términos y condiciones que se establezca. siempre que cuenten con un registro previo como usuario que permita garantizar su identidad. previa autorización por parte de la Secretaría General de Administración Digital (ver articulo completo en la ley)
¿Cuales son los objetos predefinidos/implicitos en una pagina JSP?,out --> de tipo JspWriter request --> de tipo HttpServletRequest response --> de tipo HttpServletResponse config --> de tipo ServletConfig application --> de tipo ServletContext session --> de tipo	HttpSession pageContext --> de tipo	PageContext page --> de tipo Object exception --> de tipo	Throwable
En una aplicación distribuida Java-RMI. ¿que propósito tiene el interface Remote y que sería lo equivalente en CORBA?,El sentido de usar Remote (heredando de él) es definir el interface de funciones remotas que vamos a implementar y publicar (servicio de nombres) En CORBA (especificación con soporte para multiples lenguajes) se creo el lenguaje IDL (interface definition language) para el mismo proposito
¿Qué es la diafonía y en que se mide?,La diafonía (‘crosstalk’) es un tipo de interferencia -acoplamiento electromagnético- entre pares de un mismo cable. La señal de un par induce una señal en los otros pares que se propaga en ambos sentidos. Se mide en dB.
¿Qué información se almacena en la "Pila" cuando se llama a una subrutina?,Dentro del segmento de pila de un proceso y según se van haciendo sucesivas llamadas a subrutinas se almacena: * Dirección de retorno * Parametros de entrada * Variables locales * Valor de retorno
Usos de la palabra reservada "static" en Java,* Definición de atributos/metodos estaticos * Importación de un miembro estatico de una clase para escribir codigo mas abreviado (ej: import static java.lang.Math.sqrt ) * Clase estatica interna a otra data (Ej: public class Outer { static class Inner {...}  }) * Bloque de codigo que se ejecuta cuando se carga esa clase en la JVM
En Linux. ¿cual es el uso de la variable de entorno DISPLAY?,Para definir donde se encuentra el "Servidor X" con el que se conectará el "Cliente X" para enviar la información gráfica
En el contexto del FrameWork PHP Laravel. ¿que papel juegan las Migrations y los Seeders?,La idea es automatizar la complejidad de cambios en BBDD sin tener que tocar directamente en ella. * Migrations --> Creación de versiones de modificación de BBDD (Se mantiene una tabla con todas esas versiones de cambio) * Seeders --> Creación de juegos de datos (NOTA: Se manejan con una herramienta de linea de comando. Ej: php artisan make:seeder nombre_seeder)
¿Como se crear un proyecto de .Net CORE por linea de comando?,Ej: donet new nombre_plantilla (ej: una plantilla sería "console")
Versiones del protocolo de seguridad WPA3 y bits necesarios para el cifrado.,El nuevo estándar utiliza cifrado de 128 bits en modo WPA3-Personal y 192 bits en WPA3-Enterprise
¿Qué diferencia fundamental existe entre la etiqueta <div> y <span> ?,* <div> --> Etiqueta generica de bloque * <span> --> Etiqueta generica de linea
En materia de accesibilidad. ¿a qué se refiere el art7 del RD 1112/18 cuando habla de "CARGA DESPROPORCIONADA"?,A una posible excepción al cumplimiento del RD en materia de accesibilidad que tiene que estar motivada (ver articulo completo del RD)
En el ambito de un procesador. ¿qué tres tipos de interrupciones existen?,* Hardware --> Generada por elementos externos como periféricos * Software --> Instrucción INT * Excepciones --> Se producen en el ambito de la propia CPU. Ej: división por cero. acceso a dirección de memoria no válida
En el ambito de la CPU. ¿cual es el proposito del TLB?,Tener una memoría cache para la tabla de paginas. que es la estructura de datos que usará la MMU para traducir las direcciones logicas en físicas
En el ambito de SMTP. ¿cual es el uso del comando EHLO?,Pertenece a la versión extendida de SMTP. Lo utiliza el cliente para pedirle a el servidor que opciones extendidas soporta (Ej. AUTH. STARTLS. SIZE. HELP. etc)
Explica brevemente el significado de altura y profundidad de un nodo en un arbol,altura de un nodo --> longitud(aristas) del camino más largo de ese nodo a una hoja (altura de una hoja=0) profundidad de un nodo --> longitud(aristas) del camino único que va desde la raiz hasta ese nodo (profundidad de la raiz=0) Otros parametros importantes: grado de un arbol --> Número mayor de hijos que tiene alguno de los nodos del Árbol y esta limitado por el Orden. orden de un arbol --> Maximo numero de hijos que puede tener un nodo NOTA: nivel de la raiz = 1
¿Que tipos de algoritmos son PRIM y KRUSKAL?,Generación de arboles de recubrimiento minimo (sobre un grafo conexo y ponderado). Es decir. busca un subconjunto de aristas que. formando un árbol. incluyen todos los vértices y donde el valor de la suma de todas las aristas del árbol es el mínimo. (NOTA: Otros algoritmos de recubrimiento minimo: PRIM y BORUVKA)
¿Para que nos sirve la herramienta Docker compose?,Gestionar en local varios contenedores de forma simultanea (no confundir con los orquestadores) Es una herramienta de linea de comando. Fichero de configuración: docker-compose.yml (servicios. enlaces entre contenedores. puertos. volumenes. etc)
¿Qué es un lenguaje de marcado ligero? Ejemplos,Son lenguajes con un nivel de complejidad sintáctica mucho menor que otros como XML. Orientado a Visualizacion --> AsciiDoc. MediaWiki. Markdown y ReStructuredText Orientados a configuracion. datos. etc --> JSON. YAML
En JEE. ¿con que método un servlet puede mostrar/invocar a una JSP?,Interface ServletContext (metodo getRequestDispatcher(String path)) --> Interface RequestDispatcher (metodo forward(request.response))
¿Cual es el proposito de la herramienta del CCN Atenea?,Web con desafios de seguridad (juego/reto)
¿Como se denomina a la red de acceso en UMTS?,Red UTRAN (componentes --> multiples RNS = Nodos B que proporcionan cobertura + RNC)
¿Qué tipo de celdas conoce en una red GSM ?,Macrocell Microcell Picocell Femtocell (uso domestico) Umbrellacell (para cubrir zonas sin cobertura/de sombra)
Tipos de modulación digital,Es la modulación de una onda analógica tomando como señal moduladora una digital ASK (en amplitud) FSK (en frecuencia) PSK (en fase) QAM (en amplitud y fase)
¿A que nos referimos cuando decimos que instalamos un modulo SFP?,SFP son las siglas de Transceptor de Pequeño Tamaño Modulos tipicamente de Fibra Optica (aunque tambien existen Ethernet) que se insertan en ciertos puertos de routers/switches. SFP  --> Hasta 4Gbps SFP+ --> Hasta 10Gpbs
¿En que consiste el servicio comun del PID-SVD?,Servicio de intercambio de datos (formato SCSP) entre organismos para realizar de una forma mas eficiente un tramite administrativo (y de paso no pedirle al ciudadano información que ya obra en poder de la Administración)
En el modelo entidad relación. ¿qué tipos de dependencia existen entre una entidad regular y una debil?,En existencia (no puede existir una sin la otra) En identidad (idem pero ademas la entidad debil necesita formar su clave con la de su entidad regular)
¿Cual es el uso del fichero Makefile?,Automatizar la construcción (compilado. linkado. etc) de programas tipicamente escritos en lenguaje C/C++ La herramienta que procesa estos ficheros se llama make
¿Como se llama al ORM de PHP/Laravel?,Eloquent (las clases que queramos persistir tienen que heredar de Illuminate\Database\Eloquent\Model)
¿Qué proposito tiene la librería Java "Apache Lucene"?,Es una libreria de indexación. La utilizan internamente productos como ElasticSearch o SOLR
¿Qué utilidad tiene la aplicación del patrón de diseño Observer?,Patrón que sirve para que una parte del sistema se subscriba y por lo tanto sea notificado de cambios sobre otra parte del mismo
En HTML5. ¿cuales son los objetos principales del API WebStorage y cual es su utilidad?,Siven para almacenar algo de información clave-valor en el cliente web (podriamos decir que son la evolución de las Cookies) Son dos objetos: localStorage y sessionStorage (la info se elimina al cerrar el navegador)
¿Para que nos sirve el sistema de ficheros LTFS?,Sistema de ficheros de las cintas LTO
¿Cual es el mecanismo para detectar direcciones IPv6 duplicadas?,Se utilizan las tramas ICMPv6 del protocolo NDP como son NA (anuncio de vecino) y NS (solicitud de vecino). El proceso consiste en generar la dirección tentativa que quiere usar el host (autoconfiguración) y enviar un mensaje a la dirección multicast "solicited-node" para ver si alguien más tiene esa dirección
Indique el efecto del siguiente comando de Windows: net use * "\\server\datos" /persistent:no,Vamos a crear una unidad de red (el * elige la primera letra que esté libre) y apuntará al recurso \\server\datos Con /persistent:no en el siguiente inicio de sesion no estará disponible ese mapeo Otras opciones interesantes son /user:usuario password para autenticarnos y /savecred para guardar esas credenciales
En el ambito de Java. objetivo y funcionamiento del bloque finally,Ejecutar una serie de sentencias (tipicamente para liberar recursos) tanto si se ejecuta con exito el bloque try (incluso aunque haya una instrucción como return) como si se ejecuta alguno de los bloques catch.
En el ambito de Linux. ¿que información se almacena en el superbloque?,Contiene informacion (estadistica y de gestión) sobre un determinado sistema de ficheros (ext2. ext3 o ext4). Algunos datos imporantes serían: * Tipo de sistema de ficheros * Fecha y hora del ultimo chequeo * Intervalo de chequeo * Contador del numero de montajes realizados * Tamaño del bloque (tipicamente 4Kb. en ext4 podriamos llegar hasta 64Kb) * Numero de bloques libres * Numero de inodos libres * Numero total de bloques * Numero total de inodos * Estado del sistema de ficheros * Tamaño del inodo (ej. 256 bytes)
En Git. ¿como podemos excluir determinados ficheros/directorios del control de versiones?,Dentro del fichero .gitignore (donde vamos a incluir expresiones regulares) NOTA: un caracter ! delante de una expresión la excluye del tratamiento
En arquitectura de computadoras. ¿a que se refiere el termino big-endian?,Se refiere a un tipo de orden de almacenamiento de una palabra(word) de mas de un byte en memoria (tambien se podría aplicar al ambito de las comunicaciones) Consiste en almacenar el byte de más peso del dato en la dirección de memoria más baja Ej: En la palabra 0A0B0C0D el byte 0A se almacenará en la posición x y los siguientes bytes en x+1.x+2.etc
En relación con la ejecución de instrucciones. ¿que es el direccinamiento inmediato?,Aquel en el cual el valor del operando viene incluido en la propia instrucción (ej mov ax.2). Otros modos importantes: - Implicito (el operando está predeterminado por la propia instrucción). Ej. operaciones de pila - Directo -> el dato se encuentra en la memoria o en un registro - Indirecto -> lo que se encuentra en memoria o en un registro sería la dirección del dato - Relativo (la dirección del dato es relativa al valor de ciertos registros)
¿Cual es el uso de la pseudoclase :required ?,Es un selector que nos sirve para referirnos a los elementos (tipicamente input) que tengan declarado el atributo required (significa obligatorio)
En ATM. ¿cual de los niveles de capa de adaptación sirve para transimisiones con tasa constante de bits?,El nivel AAL1 (trafico orientado a conexion. sincrono y su clase de servicio es la A)
¿Qué proposito tiene la VLAN nativa?,Poder manejar trafico "no etiquetado" (ej. por compatibilidad con switches u otros dispositivos que no manejen protocolo 802.1Q) Se configura en el switch sobre el enlace trunk con el siguiente comando (no tiene porque ser la VLAN 1): switchport trunk native vlan 66
¿Qué organización se encarga del estandar Bluetooth?,Bluetooth Special Interest Group (Bluetooth SIG)
En Linux. ¿en que ficheros podemos configurar asuntos relacionados con resolución de nombres?,Tenemos dos ficheros que se procesan según el orden definido en /etc/nsswitch.conf (es una linea como esta --> hosts: files dns) * /etc/hosts (resoluciones locales/estaticas) * /etc/resolv.conf (información de los servidores DNS que vamos a usar) Ej de contenido: domain acme.com (por si usamos nombres cortos se añadira esto por defecto) search ruinosa.com empresa.com (lista de dominios en los que va a intentar la busqueda si usamos nombre corto) nameserver 8.8.8.8 nameserver 7.7.7.7
¿En que arquitectura encuadramos el protocolo IIOP?,Protocolo definido por la OMG en el ambito de la arquitectura distribuida CORBA (comunicación entre ORB's) NOTA: GIOP (Protocolo Entre ORBs General) es el protocolo abstracto por el cual los ORBs se comunican (IIOP es la implementacion para TCP/IP)
En XML. ¿cual es la utilidad de los espacios de nombres?,Para evitar posibles duplicidades en el uso de las etiquetas en un documento XML (se les añade un prefijo) Ej. xmlns:xhtml="http://www.w3.org/1999/xhtml" (espacio de nombres con prefijo xhtml) xmlns="http://www.w3.org/1999/xhtml" (posibilidad de crear un espacio de nombres por defecto)
En JEE. ¿que tipos de EJB's existen?,Son componentes distribuidos y accesibles remotamente (internamente funcionan con RMI) Internamente de cada clase EJB se crea un pool de objetos en el EJB container Están registrados (cuando se levanta la aplicación) en el arbol JNDI Tipos: - EJB's de sesion (Stateless y Stateful) - EJB's MDB (dirigidos por mensajes). Sirven para recibir mensajes de una cola JMS - EJB' singleton (solo se crea una instancia para toda la aplicación). Aparecen en JEE6
¿Para que se utiliza la sintaxis ASN.1 y que sistemas de codificación conoce?,Sintaxis basada en BNF para definir tipos de datos (muy usado en el ambito de SNMP para definir MIB's o el formato x509v3 de un certificado) Ej: Una opción codificación binaria de estos "objetos" definidos sería XML/XER o BER (Basic Encoding Rules) que tiene dos subtipos (CER y DER) Estas codificaciónes siguen el formato TIPO (OID. SEQUENCE. OCTET STRING. INTEGER....) + LONGITUD + VALOR
En BBDD. ¿en que consiste el problema de la lectura fantasma?,Cuando aparecen (por ej dentro de una transacción con dos SELECT) filas nuevas/borradas (por otra transaccion) entre la ejecución de la primera SELECT y la segunda
Explique brevemente la utilidad del patron Flyweight,Patron de diseño con el que identificamos en una clase de la que se van a generar muchos objetos que ciertos atributos tienen siempre el mismo valor. con lo que se desperdicia memoria. La propuesta de diseño es "extraer" esos atributos a otra clase y de esta generar 1 solo objeto compartido por todos los demas NOTA: Se usa conjuntamente con una Patron de tipo Factory
En correo electrónico. ¿que papel juega una MSA y que puerto utiliza?,En la arquitectura del correo nos puede servir para que los MUA hagan los envios a la(s) MSA's de la organización. y asi controlemos distintos aspectos (politicas. seguridad. etc)  posteriormente la MSA enviará el correo a traves de la MTA correspondiente. El puerto oficial es el 587 y el protocolo que utiliza es ESMTP NOTA: El registro DNS en el que podemos consultar nuestra MSA es SRV (sirve tambien para otros servicios). Sintaxis: _servicio._protocolo.dominio. TTL class SRV priority weight port target. Ej: _submission._tcp.example.com. 86400 IN SRV 0 1 587 mail.example.com.
Segun el art.10 de la ley 39/2015. ¿cuales son los sistemas de firma admitidos por las Admon. Publicas?,- Los interesados podrán firmar a través de cualquier medio que permita acreditar la autenticidad de la expresión de su voluntad y consentimiento. así como la integridad e inalterabilidad del documento. - En el caso de que los interesados optaran por relacionarse con las Administraciones Públicas a través de medios electrónicos. se considerarán válidos a efectos de firma: - Sistemas de firma electrónica cualificada y avanzada basados en certificados electrónicos cualificados de firma electrónica expedidos por prestadores incluidos en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. - Sistemas de sello electrónico cualificado y de sello electrónico avanzado basados en certificados electrónicos cualificados de sello electrónico expedidos por prestador incluido en la ‘‘Lista de confianza de prestadores de servicios de certificación’’. - Cualquier otro sistema que las Administraciones Públicas consideren válido en los términos y condiciones que se establezca. siempre que cuenten con un registro previo como usuario que permita garantizar su identidad. previa autorización por parte de la Secretaría General de Administración Digital del Ministerio de Política Territorial y Función Pública. que solo podrá ser denegada por motivos de seguridad pública. previo informe vinculante de la Secretaría de Estado de Seguridad del Ministerio del Interior. La autorización habrá de ser emitida en el plazo máximo de tres meses - Cuando los interesados utilicen un sistema de firma de los previstos en este artículo. su IDENTIDAD se entenderá ya acreditada mediante el propio acto de la firma.
¿En que consiste la tecnologia iSCSI?,Envio de comandos SCSI (protocolo) a traves de una red TCP/IP Elementos de la arquitectura: initiatior (cliente) y target (servidor). Existen HBA's iSCSI Puertos: 860 y 3260
En Linux. ¿como configuramos un servidor de FTP para que arranque bajo demanda?,Con superserver daemon inetd (xinetd es una versión que introduce mejoras relacionadas con la seguridad) Ej de entrada del fichero de configuración /etc/inetd.conf telnet  stream  tcp     nowait  root    /usr/sbin/in.telnetd NOTA: el primer parametro (en este caso "telnet") ha de existir en /etc/services dgram en lugar de stream sería para protocolo UDP
En el ambito del almacenamiento. ¿en que consiste la configuración JBOD?,Es una configura NO-RAID que nos agrupa toda la capacidad de todos los discos como si fueran uno solo. No despercia nada de almacenamiento. Según se llena un disco se usa el siguiente. No redundancia
¿Cual es la diferencia fundamental entre un Patrón Factory Method y un Abstract Factory?,Factory Method --> Una sola familia de objetos Abstract Factory --> Varias familias de objetos. Cada fabrica concreta crea un objeto de cada familia con distintos metodos
En el contexto de IPSec. ¿qué es un SA - Security Association?,Información que se guarda en una BBDD y que representa la configuración de seguridad negociada entre emisor y receptor Tiene un sentido unidireccional (en cada extremo tendremos dos: uno para el trafico entrante y otro para el saliente) Información que contiene cada SA: * IP Destino * SPI (indice para localizar a esta info en la BBDD) * Clave * Protocolo y modo (Ej AH modo transporte) * Algortimo criptografico (Ej HMAC-SHA1) * Otros opciones (Ej tiempo de vida de la clave)
¿Como se define un constructor en PHP.Java.C# y VB.Net?,java   --> mismo nombre que la clase c#     --> mismo nombre que la clase php    --> public function __construct(...) vb.net --> Public Sub New(...) python --> def __init__(self....):
¿Qué utilidad tiene el metodo finalize() de la clase Object?,Nos permite escribir codigo (tipicamente de liberación de recursos) cuando ese objeto sea eliminado por el GC
¿Cuales son los tres grupos de medidas de seguridad según el ENS?,Marco organizativo [org]. Constituido por el conjunto de medidas relacionadas con la organización global de la seguridad. Marco operacional [op]. Formado por las medidas a tomar para proteger la operación del sistema como conjunto integral de componentes para un fin. Medidas de protección [mp]. Se centran en proteger activos concretos. según su naturaleza y la calidad exigida por el nivel de seguridad de las dimensiones afectadas.
